[2023-03-23 16:45:58,456][__main__][INFO] - PYTHONPATH: /home/subhrangsu/contssl/continuous_ssl_problem
[2023-03-23 16:46:11,319][__main__][INFO] - PYTHONPATH: /home/subhrangsu/contssl/continuous_ssl_problem
[2023-03-23 16:47:46,761][new_worker_lincls][INFO] - => creating model 'resnet18'
[2023-03-23 16:47:46,846][new_worker_lincls][INFO] - => loading checkpoint '/home/subhrangsu/contssl/continuous_ssl_problem/cifar10logs/checkpoints/cifar10_colorjitter/cifar10_colorjitter/checkpoint_0001.pth'
[2023-03-23 16:47:46,900][new_worker_lincls][INFO] - => loaded pre-trained model '/home/subhrangsu/contssl/continuous_ssl_problem/cifar10logs/checkpoints/cifar10_colorjitter/cifar10_colorjitter/checkpoint_0001.pth'
[2023-03-23 16:47:46,999][new_worker_lincls][INFO] - => no checkpoint found at '/home/subhrangsu/contssl/continuous_ssl_problem/cifar10logs/checkpoints/cifar10_colorjitter/cifar10_colorjitter/checkpoint_0001.pth.imnet.lincls'
[2023-03-23 16:47:49,347][new_worker_lincls][INFO] - LOSS 4.605377674102783
[2023-03-23 16:47:49,348][new_worker_lincls][INFO] - LOSS ITEM 4.605377674102783
[2023-03-23 16:47:49,361][new_worker_lincls][INFO] - Epoch: [0][  0/500]	Time  2.353 ( 2.353)	Data  2.311 ( 2.311)	Loss 4.6054e+00 (4.6054e+00)	Acc@1   0.00 (  0.00)	Acc@5   7.00 (  7.00)
[2023-03-23 16:47:49,707][new_worker_lincls][INFO] - LOSS 4.486814975738525
[2023-03-23 16:47:49,707][new_worker_lincls][INFO] - LOSS ITEM 4.486814975738525
[2023-03-23 16:47:49,738][new_worker_lincls][INFO] - LOSS 4.398465156555176
[2023-03-23 16:47:49,738][new_worker_lincls][INFO] - LOSS ITEM 4.398465156555176
[2023-03-23 16:47:49,773][new_worker_lincls][INFO] - LOSS 4.3052473068237305
[2023-03-23 16:47:49,774][new_worker_lincls][INFO] - LOSS ITEM 4.3052473068237305
[2023-03-23 16:47:49,807][new_worker_lincls][INFO] - LOSS 4.194618225097656
[2023-03-23 16:47:49,807][new_worker_lincls][INFO] - LOSS ITEM 4.194618225097656
[2023-03-23 16:47:50,131][new_worker_lincls][INFO] - LOSS 4.129540920257568
[2023-03-23 16:47:50,132][new_worker_lincls][INFO] - LOSS ITEM 4.129540920257568
[2023-03-23 16:47:50,163][new_worker_lincls][INFO] - LOSS 4.080327033996582
[2023-03-23 16:47:50,164][new_worker_lincls][INFO] - LOSS ITEM 4.080327033996582
[2023-03-23 16:47:50,198][new_worker_lincls][INFO] - LOSS 4.026297092437744
[2023-03-23 16:47:50,198][new_worker_lincls][INFO] - LOSS ITEM 4.026297092437744
[2023-03-23 16:47:50,232][new_worker_lincls][INFO] - LOSS 4.021970272064209
[2023-03-23 16:47:50,232][new_worker_lincls][INFO] - LOSS ITEM 4.021970272064209
[2023-03-23 16:47:50,267][new_worker_lincls][INFO] - LOSS 3.959263324737549
[2023-03-23 16:47:50,267][new_worker_lincls][INFO] - LOSS ITEM 3.959263324737549
[2023-03-23 16:47:50,299][new_worker_lincls][INFO] - LOSS 3.901538372039795
[2023-03-23 16:47:50,300][new_worker_lincls][INFO] - LOSS ITEM 3.901538372039795
[2023-03-23 16:47:50,301][new_worker_lincls][INFO] - Epoch: [0][ 10/500]	Time  0.033 ( 0.300)	Data  0.000 ( 0.267)	Loss 3.9015e+00 (4.1918e+00)	Acc@1   8.00 (  5.00)	Acc@5  32.00 ( 23.00)
[2023-03-23 16:47:50,331][new_worker_lincls][INFO] - LOSS 3.7883172035217285
[2023-03-23 16:47:50,331][new_worker_lincls][INFO] - LOSS ITEM 3.7883172035217285
[2023-03-23 16:47:50,359][new_worker_lincls][INFO] - LOSS 3.8177340030670166
[2023-03-23 16:47:50,367][new_worker_lincls][INFO] - LOSS ITEM 3.8177340030670166
[2023-03-23 16:47:50,395][new_worker_lincls][INFO] - LOSS 3.8043572902679443
[2023-03-23 16:47:50,402][new_worker_lincls][INFO] - LOSS ITEM 3.8043572902679443
[2023-03-23 16:47:50,430][new_worker_lincls][INFO] - LOSS 3.74102783203125
[2023-03-23 16:47:50,430][new_worker_lincls][INFO] - LOSS ITEM 3.74102783203125
[2023-03-23 16:47:50,472][new_worker_lincls][INFO] - LOSS 3.8081276416778564
[2023-03-23 16:47:50,472][new_worker_lincls][INFO] - LOSS ITEM 3.8081276416778564
[2023-03-23 16:47:50,500][new_worker_lincls][INFO] - LOSS 3.643984794616699
[2023-03-23 16:47:50,500][new_worker_lincls][INFO] - LOSS ITEM 3.643984794616699
[2023-03-23 16:47:50,536][new_worker_lincls][INFO] - LOSS 3.665201425552368
[2023-03-23 16:47:50,537][new_worker_lincls][INFO] - LOSS ITEM 3.665201425552368
[2023-03-23 16:47:50,568][new_worker_lincls][INFO] - LOSS 3.6679847240448
[2023-03-23 16:47:50,568][new_worker_lincls][INFO] - LOSS ITEM 3.6679847240448
[2023-03-23 16:47:50,601][new_worker_lincls][INFO] - LOSS 3.5977118015289307
[2023-03-23 16:47:50,601][new_worker_lincls][INFO] - LOSS ITEM 3.5977118015289307
[2023-03-23 16:47:50,629][new_worker_lincls][INFO] - LOSS 3.5888242721557617
[2023-03-23 16:47:50,629][new_worker_lincls][INFO] - LOSS ITEM 3.5888242721557617
[2023-03-23 16:47:50,639][new_worker_lincls][INFO] - Epoch: [0][ 20/500]	Time  0.035 ( 0.173)	Data  0.001 ( 0.140)	Loss 3.5888e+00 (3.9635e+00)	Acc@1   3.00 (  5.05)	Acc@5  28.00 ( 25.14)
[2023-03-23 16:47:50,671][new_worker_lincls][INFO] - LOSS 3.5302493572235107
[2023-03-23 16:47:50,671][new_worker_lincls][INFO] - LOSS ITEM 3.5302493572235107
[2023-03-23 16:47:50,704][new_worker_lincls][INFO] - LOSS 3.6234378814697266
[2023-03-23 16:47:50,705][new_worker_lincls][INFO] - LOSS ITEM 3.6234378814697266
[2023-03-23 16:47:50,744][new_worker_lincls][INFO] - LOSS 3.55257511138916
[2023-03-23 16:47:50,744][new_worker_lincls][INFO] - LOSS ITEM 3.55257511138916
[2023-03-23 16:47:50,778][new_worker_lincls][INFO] - LOSS 3.541835069656372
[2023-03-23 16:47:50,779][new_worker_lincls][INFO] - LOSS ITEM 3.541835069656372
[2023-03-23 16:47:50,812][new_worker_lincls][INFO] - LOSS 3.4706995487213135
[2023-03-23 16:47:50,812][new_worker_lincls][INFO] - LOSS ITEM 3.4706995487213135
[2023-03-23 16:47:50,845][new_worker_lincls][INFO] - LOSS 3.4663803577423096
[2023-03-23 16:47:50,846][new_worker_lincls][INFO] - LOSS ITEM 3.4663803577423096
[2023-03-23 16:47:50,879][new_worker_lincls][INFO] - LOSS 3.443479537963867
[2023-03-23 16:47:50,879][new_worker_lincls][INFO] - LOSS ITEM 3.443479537963867
[2023-03-23 16:47:50,917][new_worker_lincls][INFO] - LOSS 3.3615453243255615
[2023-03-23 16:47:50,917][new_worker_lincls][INFO] - LOSS ITEM 3.3615453243255615
[2023-03-23 16:47:50,945][new_worker_lincls][INFO] - LOSS 3.417862892150879
[2023-03-23 16:47:50,945][new_worker_lincls][INFO] - LOSS ITEM 3.417862892150879
[2023-03-23 16:47:50,985][new_worker_lincls][INFO] - LOSS 3.330812454223633
[2023-03-23 16:47:50,986][new_worker_lincls][INFO] - LOSS ITEM 3.330812454223633
[2023-03-23 16:47:50,988][new_worker_lincls][INFO] - Epoch: [0][ 30/500]	Time  0.033 ( 0.129)	Data  0.000 ( 0.095)	Loss 3.3308e+00 (3.8055e+00)	Acc@1   8.00 (  5.55)	Acc@5  36.00 ( 26.19)
[2023-03-23 16:47:51,017][new_worker_lincls][INFO] - LOSS 3.334073066711426
[2023-03-23 16:47:51,018][new_worker_lincls][INFO] - LOSS ITEM 3.334073066711426
[2023-03-23 16:47:51,050][new_worker_lincls][INFO] - LOSS 3.36348032951355
[2023-03-23 16:47:51,050][new_worker_lincls][INFO] - LOSS ITEM 3.36348032951355
[2023-03-23 16:47:51,082][new_worker_lincls][INFO] - LOSS 3.322066307067871
[2023-03-23 16:47:51,082][new_worker_lincls][INFO] - LOSS ITEM 3.322066307067871
[2023-03-23 16:47:51,118][new_worker_lincls][INFO] - LOSS 3.330611228942871
[2023-03-23 16:47:51,118][new_worker_lincls][INFO] - LOSS ITEM 3.330611228942871
[2023-03-23 16:47:51,152][new_worker_lincls][INFO] - LOSS 3.3215744495391846
[2023-03-23 16:47:51,152][new_worker_lincls][INFO] - LOSS ITEM 3.3215744495391846
[2023-03-23 16:47:51,184][new_worker_lincls][INFO] - LOSS 3.3171465396881104
[2023-03-23 16:47:51,184][new_worker_lincls][INFO] - LOSS ITEM 3.3171465396881104
[2023-03-23 16:47:51,217][new_worker_lincls][INFO] - LOSS 3.310213565826416
[2023-03-23 16:47:51,217][new_worker_lincls][INFO] - LOSS ITEM 3.310213565826416
[2023-03-23 16:47:51,250][new_worker_lincls][INFO] - LOSS 3.2692995071411133
[2023-03-23 16:47:51,251][new_worker_lincls][INFO] - LOSS ITEM 3.2692995071411133
[2023-03-23 16:47:51,284][new_worker_lincls][INFO] - LOSS 3.28926944732666
[2023-03-23 16:47:51,285][new_worker_lincls][INFO] - LOSS ITEM 3.28926944732666
[2023-03-23 16:47:51,321][new_worker_lincls][INFO] - LOSS 3.2640411853790283
[2023-03-23 16:47:51,321][new_worker_lincls][INFO] - LOSS ITEM 3.2640411853790283
[2023-03-23 16:47:51,324][new_worker_lincls][INFO] - Epoch: [0][ 40/500]	Time  0.036 ( 0.105)	Data  0.001 ( 0.072)	Loss 3.2640e+00 (3.6852e+00)	Acc@1   8.00 (  5.85)	Acc@5  27.00 ( 26.56)
[2023-03-23 16:47:51,355][new_worker_lincls][INFO] - LOSS 3.2226836681365967
[2023-03-23 16:47:51,355][new_worker_lincls][INFO] - LOSS ITEM 3.2226836681365967
[2023-03-23 16:47:51,387][new_worker_lincls][INFO] - LOSS 3.249279260635376
[2023-03-23 16:47:51,388][new_worker_lincls][INFO] - LOSS ITEM 3.249279260635376
[2023-03-23 16:47:51,420][new_worker_lincls][INFO] - LOSS 3.2009429931640625
[2023-03-23 16:47:51,420][new_worker_lincls][INFO] - LOSS ITEM 3.2009429931640625
[2023-03-23 16:47:51,452][new_worker_lincls][INFO] - LOSS 3.213391065597534
[2023-03-23 16:47:51,452][new_worker_lincls][INFO] - LOSS ITEM 3.213391065597534
[2023-03-23 16:47:51,484][new_worker_lincls][INFO] - LOSS 3.191634178161621
[2023-03-23 16:47:51,484][new_worker_lincls][INFO] - LOSS ITEM 3.191634178161621
[2023-03-23 16:47:51,513][new_worker_lincls][INFO] - LOSS 3.178171157836914
[2023-03-23 16:47:51,513][new_worker_lincls][INFO] - LOSS ITEM 3.178171157836914
[2023-03-23 16:47:51,540][new_worker_lincls][INFO] - LOSS 3.1634817123413086
[2023-03-23 16:47:51,540][new_worker_lincls][INFO] - LOSS ITEM 3.1634817123413086
[2023-03-23 16:47:51,568][new_worker_lincls][INFO] - LOSS 3.18211030960083
[2023-03-23 16:47:51,568][new_worker_lincls][INFO] - LOSS ITEM 3.18211030960083
[2023-03-23 16:47:51,596][new_worker_lincls][INFO] - LOSS 3.159991502761841
[2023-03-23 16:47:51,596][new_worker_lincls][INFO] - LOSS ITEM 3.159991502761841
[2023-03-23 16:47:51,622][new_worker_lincls][INFO] - LOSS 3.145717144012451
[2023-03-23 16:47:51,622][new_worker_lincls][INFO] - LOSS ITEM 3.145717144012451
[2023-03-23 16:47:51,625][new_worker_lincls][INFO] - Epoch: [0][ 50/500]	Time  0.028 ( 0.091)	Data  0.000 ( 0.058)	Loss 3.1457e+00 (3.5883e+00)	Acc@1   6.00 (  6.10)	Acc@5  36.00 ( 27.69)
[2023-03-23 16:47:51,655][new_worker_lincls][INFO] - LOSS 3.1265182495117188
[2023-03-23 16:47:51,655][new_worker_lincls][INFO] - LOSS ITEM 3.1265182495117188
[2023-03-23 16:47:51,682][new_worker_lincls][INFO] - LOSS 3.1266982555389404
[2023-03-23 16:47:51,682][new_worker_lincls][INFO] - LOSS ITEM 3.1266982555389404
[2023-03-23 16:47:51,709][new_worker_lincls][INFO] - LOSS 3.128308057785034
[2023-03-23 16:47:51,709][new_worker_lincls][INFO] - LOSS ITEM 3.128308057785034
[2023-03-23 16:47:51,736][new_worker_lincls][INFO] - LOSS 3.1224546432495117
[2023-03-23 16:47:51,736][new_worker_lincls][INFO] - LOSS ITEM 3.1224546432495117
[2023-03-23 16:47:51,763][new_worker_lincls][INFO] - LOSS 3.125192165374756
[2023-03-23 16:47:51,763][new_worker_lincls][INFO] - LOSS ITEM 3.125192165374756
[2023-03-23 16:47:51,792][new_worker_lincls][INFO] - LOSS 3.128753662109375
[2023-03-23 16:47:51,792][new_worker_lincls][INFO] - LOSS ITEM 3.128753662109375
[2023-03-23 16:47:51,823][new_worker_lincls][INFO] - LOSS 3.0838747024536133
[2023-03-23 16:47:51,824][new_worker_lincls][INFO] - LOSS ITEM 3.0838747024536133
[2023-03-23 16:47:51,851][new_worker_lincls][INFO] - LOSS 3.096433401107788
[2023-03-23 16:47:51,851][new_worker_lincls][INFO] - LOSS ITEM 3.096433401107788
[2023-03-23 16:47:51,878][new_worker_lincls][INFO] - LOSS 3.091655969619751
[2023-03-23 16:47:51,878][new_worker_lincls][INFO] - LOSS ITEM 3.091655969619751
[2023-03-23 16:47:51,906][new_worker_lincls][INFO] - LOSS 3.1118242740631104
[2023-03-23 16:47:51,906][new_worker_lincls][INFO] - LOSS ITEM 3.1118242740631104
[2023-03-23 16:47:51,908][new_worker_lincls][INFO] - Epoch: [0][ 60/500]	Time  0.027 ( 0.080)	Data  0.001 ( 0.049)	Loss 3.1118e+00 (3.5105e+00)	Acc@1   8.00 (  6.36)	Acc@5  27.00 ( 28.77)
[2023-03-23 16:47:51,934][new_worker_lincls][INFO] - LOSS 3.0729947090148926
[2023-03-23 16:47:51,934][new_worker_lincls][INFO] - LOSS ITEM 3.0729947090148926
[2023-03-23 16:47:51,966][new_worker_lincls][INFO] - LOSS 3.0896642208099365
[2023-03-23 16:47:51,966][new_worker_lincls][INFO] - LOSS ITEM 3.0896642208099365
[2023-03-23 16:47:51,993][new_worker_lincls][INFO] - LOSS 3.1020123958587646
[2023-03-23 16:47:51,993][new_worker_lincls][INFO] - LOSS ITEM 3.1020123958587646
